"acc","classifier","method"
"0.585","ANN","chi2"
"0.59038634956","ANN","entropy"
"0.635238095238","ANN","sbs"
"0.712418300654","ANN","sfs"
"0.56","ANN","chi2"
"0.836188219993","ANN","entropy"
"0.900324675325","ANN","sbs"
"0.617973856209","ANN","sfs"
"0.54","ANN","chi2"
"0.553498885173","ANN","entropy"
"0.591666666667","ANN","sbs"
"0.741503267974","ANN","sfs"
"0.593333333333","ANN","chi2"
"0.505143874644","ANN","entropy"
"0.591515151515","ANN","sbs"
"0.682679738562","ANN","sfs"
"0.623333333333","CART","chi2"
"0.736514430819","CART","entropy"
"0.938463203463","CART","sbs"
"0.976797385621","CART","sfs"
"0.613333333333","CART","chi2"
"0.840034373839","CART","entropy"
"0.943463203463","CART","sbs"
"0.977124183007","CART","sfs"
"0.701666666667","CART","chi2"
"0.696499194847","CART","entropy"
"0.933246753247","CART","sbs"
"0.959477124183","CART","sfs"
"0.701666666667","CART","chi2"
"0.696499194847","CART","entropy"
"0.938463203463","CART","sbs"
"0.965032679739","CART","sfs"
"0.746666666667","NB","chi2"
"0.751817106404","NB","entropy"
"0.932792207792","NB","sbs"
"0.965032679739","NB","sfs"
"0.721666666667","NB","chi2"
"0.553442586399","NB","entropy"
"0.932792207792","NB","sbs"
"0.976797385621","NB","sfs"
"0.51","NB","chi2"
"0.722046451133","NB","entropy"
"0.92803030303","NB","sbs"
"0.965359477124","NB","sfs"
"0.51","NB","chi2"
"0.722046451133","NB","entropy"
"0.92803030303","NB","sbs"
"0.965359477124","NB","sfs"
"0.593333333333","SVM","chi2"
"0.748946983773","SVM","entropy"
"0.919155844156","SVM","sbs"
"0.65522875817","SVM","sfs"
"0.593333333333","SVM","chi2"
"0.840034373839","SVM","entropy"
"0.919177489177","SVM","sbs"
"0.65522875817","SVM","sfs"
"0.593333333333","SVM","chi2"
"0.754981667286","SVM","entropy"
"0.937792207792","SVM","sbs"
"0.935620915033","SVM","sfs"
"0.56","SVM","chi2"
"0.754981667286","SVM","entropy"
"0.899415584416","SVM","sbs"
"0.935620915033","SVM","sfs"
